Animals,African Wildlife Foundation,"Protects imperiled species-- lions, mountain gorillas, rhinos, elephants, zebras-- through habitat conservation, science, leadership training and wildlife-friendly community-beneficial business development for 50 years.",http://www.awf.org
Animals,Defenders of Wildlife,"Working since 1947 to save America's endangered animals and their threatened habitat for future generations through public education, citizen advocacy, legal action and scientific research.",http://www.defenders.org
Animals,"Freedom Service Dogs, Inc. - Colorado","Custom trains rescue dogs to become full access service dogs for clients with mobility challenges, children with autism or cerebral palsy, and veterans with PTSD.",http://www.freedomservicedogs.org
Animals,"Guide Dog Foundation for the Blind, Inc.","Using innovative training methods, trains guide and service dogs to restore independence and mobility, empowering people with disabilities to live a life without boundaries.",http://www.guidedog.org
Animals,Gulf of Maine Lobster Foundation,"Collaborates with lobstermen, scientists and members of the community to support a healthy lobster fishery within the Gulf of Maine",http://www.gomlf.org
Animals,Humane Ohio,"Operates free and low-cost dog and cat spay/neuter clinic for people in need: low-income, elderly stray caretakers, shelters. Provide free transportation in six counties.",http://www.humaneohio.org
Animals,Morris Animal Foundation,Our mission is to improve the health and well-being of companion animals and wildlife by funding humane health studies and dissemination information about these studies.,http://www.morrisanimalfoundation.org
Animals,National Fish and Wildlife Foundation,"Established by Congress, NFWF is the leader in directing federal agency dollars to protect wildlife and natural resources while raising private capital to leverage those investments.",http://www.nfwf.org
Animals,National Wildlife Federation,America's conservation organization dedicated to protecting endangered species and habitats for our children's future and connecting people with nature through education and action opportunities.,http://www.nwf.org
Animals,Northland Therapeutic Riding Center - Missouri,"Northland Therapeutic Riding Center provides equine-oriented, rehabilitative therapy for children and adults with special needs, including autism, MS, hearing, speech and visual challenges, cerebral palsy and Down Syndrome.",http://www.northlandtrc.org
Animals,Oceana Inc.,"Works internationally to protect marine wildlife and human health through programs to end pollution and destructive fishing practices, and to ensure vibrant, healthy oceans.",http://www.oceana.org
Animals,"PetSmart Charities, Inc.","Since 1994, PetSmart Charities has funded over $165 million to support spay/neuter, disaster relief, educational programs and an in-store adoption program saving 5 million pets.",http://www.petsmartcharities.org
Animals,The Fund for Animals,"The Fund for Animals, founded by Cleveland Amory, operates animal sanctuaries and wildlife centers, and is a leading provider of direct care for animals.",http://www.fundforanimals.org
Animals,The Humane Society of the United States,The Humane Society of the United States celebrates animals and confronts cruelty. The organization is backed by more than 11 million Americans.,http://www.humanesociety.org
Animals,"The Nature Conservancy, New York","Protects land and water to help save rare plants and animals. Over 117 million acres protected: rainforests, wetlands, mountains and beaches - worldwide.",http://www.nature.org/newyork
Animals,The Peregrine Fund,"Saves eagles, condors, falcons, and other endangered birds through research, breeding, and conservation programs. Helps preserve rainforests. Educates children and adults about nature and science.",http://www.peregrinefund.org
Animals,Therapeutic Horsemanship - Missouri,To provide equine assisted therapeutic programs for individuals with disabilities in order to develop their maximum physical and psychological potential.,http://www.thstl.org
Animals,Wildlife Conservation Society,Saves endangered species and threatened ecosystems in 60 countries; teaches ecology and inspires care for wildlife through the Bronx Zoo and national science education programs.,http://www.wcs.org
Animals,World Wildlife Fund,"Multinational conservation organization working worldwide to combat climate change, save endangered animals, protect wild habitats, and transform market forces to act in harmony with nature.",http://www.worldwildlife.org
"Arts, Culture, Humanities",Miracle League of Arizona,"Dedicated to providing safe and enjoyable baseball experiences for children, teens and adults with disabilities and special health care needs.",http://www.mlaz.org
"Arts, Culture, Humanities",PCI-Media Impact,"Media Impact's unique approach to communications combines the principles of Entertainment-Education with the reach of mass media to mobilize individual, community creating positive change.",http://www.mediaimpact.org
Health,Bi-Lingual International Assistant Services - Missouri,"Case-management mental health services; interpretation, translation, advocacy, homebased multilingual homecare, disabled refugees, American born isolated seniors, psychotherapy, counseling, fraud prevention, and citizenship assistance services.",http://www.bilingualstl.org
Health,Brain Injury Alliance of Kentucky,"Assists individuals, families, caregivers and communities affected. Working to better the lives of those with brain injury through advocacy, awareness, education, research, service and support.",http://www.biak.us
Health,Cerebral Palsy of Virginia,"Cerebral Palsy of Virginia provides programs and services to children and adults with cerebral palsy, Downs Syndrome, autism, mental retardation, and other developmental disabilities.",http://www.cerebralpalsyofvirginia.org
Environment,Earth Day Network,"EDN, global coordinator of Earth Day, is a leader on environmental education and forges alliances on issues such as climate change and a post-carbon economy.",http://www.earthday.net
Environment,EarthShare,"Donations are shared among our member groups to protect our environment, health, wildlife, and natural resources.  One environment. One simple way to care for it.",http://www.earthshare.org
Environment,National Audubon Society,"Audubon works to protect birds, wildlife and their habitats, including our oceans. Educational outreach programs instruct and inspire future conservationists. Audubon Centers offer outdoor experiences.",http://www.audubon.org
Environment,Katy Prairie Conservancy,"We work to protect a sustainable portion of the Katy Prairie for the benefit of its wildlife and for the enjoyment of all Texans, forever.",http://www.katyprairie.org
Education,100 Black Men of America,Our mission is to improve the quality of life within communities by enhancing educational and economic opportunities for all African Americans.,http://www.100blackmen.org
Education,American Association of Diabetes Educators Education & Research Foundation,"AADE Foundation secures financial resources to provide grants and scholarships to its members - diabetes educators, to ultimately improve the health of people with diabetes.",http://www.aadenet.org
Education,American Council of the Blind,"Strives to improve quality of life for blind people through scholarships, crisis support, monthly magazine, educating policymakers and the public about capabilities of blind people.",http://www.acb.org
Education,"ARC Industries of Franklin County, Ohio",Train and place adults with developmental disabilities in community jobs.  Increase capacity of local employers to hire and retain qualified workers with disabilities.,http://www.arcind.com
Education,Arizona Public Health Association,Working to protect and promote the public's health through education and programs.,http://www.azpha.org
Education,Arizona Spinal Cord Injury Association,As a partner of the Reeve Foundation we strive to provide quality of life programs and education for individuals and families dealing with paralysis.,http://www.azspinal.org
Education,"ASMT, Inc (formerly Autism Society of Middle Tennessee)","A grassroots organization providing information and education on autism spectrum disorders. Newsletters, orientations, workshops, support groups and library are available at little or no cost.",http://www.tnautism.org
Education,Asthma and Allergy Foundation of America,"Supports research to cure asthma and allergies and helps patients through educational programs, advocacy, free information and a national network of chapters and support groups.",http://www.aafa.org
Education,Boy Scouts of America,"One of the nation;s most prominent values-based youth development organizations.  Programs for building character, training in the responsibilities of citizenship, and developing personal fitness.",http://www.scouting.org
Education,Boys & Girls Club - New Mexico,"We offer programs to youth promotion education and career development, character and leadership, health and nutrition, fitness and the arts in a positive, safe environment.",http://www.boysandgirlsabqrio.com
Education,Brain Injury Association of Massachusetts,"Educates the public on the risks of brain injury, promotes programs to prevent those injures and offers support services to survivors and their families.",http://www.biama.org
Education,Build,"BUILD's mission is to use entrepreneurship to excite and propel disengaged, low-income students through high school to college success.",http://build.org
Tech,CampInteractive,"CampInteractive (CI) is a not-for-profit organization that empowers inner-city youth through the inspiration of the outdoors and the creative power of technology. We believe that when urban teenagers step back into nature and forward into technology they gain invaluable skills, heighten their academic standing, and begin to realize more of life's possibilities.",http://campinteractive.org
Education,Christian Foundation for Children and Aging,One hundred percent of your CFC contribution funds scholarships for students living in poverty in developing countries. Students give back through service to their communities.,http://www.hopeforafamily.org
Education,City Year,"City Year is an education focused, nonprofit organization that unites young people of all backgrounds for a year of full-time service to keep students in school and on track to graduation.",http://www.cityyear.org
Tech,Donors Choose,DonorsChoose.org is an online charity that makes it easy for anyone to help students in need.,http://www.donorschoose.org
Education,"Gay, Lesbian, Bisexual & Transgender Scholarship Fund - Point Foundation","Point Foundation empowers lesbian, gay, bisexual, transgender and queer students to achieve their full academic and leadership potential and make a significant impact on society.",http://www.pointfoundation.org
Education,Good360,"Good360 secures nonperishable product donations from companies and distributes them to 30,000+ nonprofits, schools and libraries serving millions of people and communities in need.",http://www.good360.org
Education,High Hopes - Tennessee,"High Hopes provides quality pediatric therapy services inclusive education, and lovin support to children and youth with special needs in order to achieve lifelong success.",http://www.highhopesforkids.org/pages/default.aspx
Education,Home School Foundation,"Financial assistance and curriculum relief to struggling home school families. We invest in widows, single parents, special needs children, and military families. Give. Volunteer. Pray.",http://www.homeschoolfoundation.org
Education,"Hospice & Palliative Care Network of Maryland, Inc.","Provider organization that through public and professional education and legislative advocacy promotes the provision of quality patient centered, comfort oriented care across care settings.",http://www.hnmd.org
